Description,Latitude,Location,Longitude,Price,Title,Url
,35.581378815218,"Asheville, NC",-82.578888680932,0.0,purple and black suede wallet,https://us.letgo.com/en/i/purple-and-black-suede-wallet_92ecd8d5-51dd-4a6b-820a-1e1f5bce299e
,35.581378815218,"Asheville, NC",-82.578888680932,0.0,purple and black flip case,https://us.letgo.com/en/i/purple-and-black-flip-case_47e2648b-dba0-40b4-a5ba-e967e3339031
Excellent condition. Paid 120.00. Size 10.5,35.4833764,"Fletcher, NC",-82.4578764,55.0,Timberland Pro work boots,https://us.letgo.com/en/i/Timberland-Pro-work-boots-_ce5521bf-c89a-4492-bb5a-9ae98a907352
"Lexi Kit sculpted by Sandra White Hand painted as an artistic creation as visioned by the artistic creator. Approximately 19 inches long and weights approximately 3lbs 3/4 arms and 3/4 legs Limbs are weighted with finely crushed glass beads & poly-fil Body and head weighted with polypropylene plastic pellets and poly-fil Drawstring, doe suede body with jointed limbs Eyelashes are rooted Magnetic mouth Baby powder scented with wonder wafers Many layers of Genesis Heat Set Paints",35.834422557073005,"Marshall, NC",-82.611198263778,300.0,baby photo collage,https://us.letgo.com/en/i/baby-photo-collage_ede70959-94bc-4c49-bdeb-682631ad0954
,35.627437,"Old Fort, NC",-82.19243900000001,10.0,Cheese Hoop,https://us.letgo.com/en/i/Cheese-Hoop_dacb9874-1883-4eb3-996f-57eed7dc9431
New,35.597118,"Asheville, NC",-82.516648,16.0,Scotts toilet paper and paper towel bundle,https://us.letgo.com/en/i/Scotts-toilet-paper-and-paper-towel-bundle-_2b72d030-57db-4218-89fa-5e41a85f7af5
4 Suave body wash 15 oz each 3 Axe Shampoo 12 oz Each 1 Schick Hydro Shave gel 8.4 oz 1 Schick Xtreme 3 6in1 value pack 1 Bic Flex 3 Razor 4 ct 1 Speed Stick double pack deodorant ALL ITEMS ARE NEW!,35.597118,"Asheville, NC",-82.516648,35.0,Men's Body wash and hair bundle,https://us.letgo.com/en/i/Men-s-Body-wash-and-hair-bundle-_f5a6cee7-e906-4d05-a112-19da6b5abedd
"Perfect for plumbers, electricians, handy men etc. Paid $120 Selling for a whopping 40 bucks. Call me @ [TL_HIDDEN] .",35.328604,"Hendersonville, NC",-82.42256,40.0,Nice metal portable tool box,https://us.letgo.com/en/i/Nice-metal-portable-tool-box_6b94c761-399a-42e8-98a1-750f2824e482
With files,35.627437,"Old Fort, NC",-82.19243900000001,65.0,Wood Filing Cabinet,https://us.letgo.com/en/i/Wood-Filing-Cabinet_a61ac155-516b-4aa4-853e-9d136d1e3fdd
,35.597816930543,"Asheville, NC",-82.45859745872501,10.0,stainless steel underarm crutches,https://us.letgo.com/en/i/stainless-steel-underarm-crutches_0f40b67c-81ad-4d51-b23c-6b7c73ab0ae6
,35.627437,"Old Fort, NC",-82.19243900000001,35.0,Toy Box / Trunk,https://us.letgo.com/en/i/Toy-Box-Trunk_b9885dc3-d619-4825-89c4-9abde46e8272
,35.627437,"Old Fort, NC",-82.19243900000001,15.0,Hamilton Beach mixer,https://us.letgo.com/en/i/Hamilton-Beach-mixer_cbc3ba99-fe6c-42df-812c-35eb515041b9
Life jackets & toys included,35.317397,"Horse Shoe, NC",-82.637457,3000.0,19 ft Sea Ray Seville Boat & Trailer,https://us.letgo.com/en/i/19-ft-Sea-Ray-Seville-Boat-Trailer_c8f74af7-5eef-48b2-81db-83be99cfb0e5
,35.627437,"Old Fort, NC",-82.19243900000001,10.0,Ceramic heater,https://us.letgo.com/en/i/Ceramic-heater_6058418a-847c-4339-a1c9-b1cc3644d134
1 Scotts 1000 sheets 12 Rolls 1 Scotts 8= 12 Rolls Paper towel 2 Lysol wipes 35 ct Each 1 Finish Max 16 ct 2 Dawn Dish Soap 8 oz Each 1 Lysol Cleaner 28 oz 2 Lysol Toilette bowl cleaner 24 oz 2 Lysol Neutra Air spray 10 oz 3 Fabreeze Air 8 oz 2 Purex Crystals 18 oz 2 Oxi Clean 26 Loads 40 oz ALL ITEMS ARE NEW!,35.597118,"Asheville, NC",-82.516648,60.0,19 pc Household Bundle New!!,https://us.letgo.com/en/i/19-pc-Household-Bundle-New-_9f7baa34-fa00-4369-bf25-9e53089bf806
Swivels and rocks,35.6008992,"Old Fort, NC",-82.1349244,30.0,Orange swivel chair,https://us.letgo.com/en/i/Orange-swivel-chair_bc8121c5-0909-4501-ac3d-03f7477253b7
None,35.6008992,"Old Fort, NC",-82.1349244,30.0,Blue Wingback chair,https://us.letgo.com/en/i/Blue-Wingback-chair_961d52fa-102f-47a9-8c97-565c41c71d04
None,35.6008992,"Old Fort, NC",-82.1349244,30.0,Floral Wingback chair,https://us.letgo.com/en/i/Floral-Wingback-chair_c34a4fbd-1544-48be-8acf-e86f601faf4a
,35.510449257366,"Waynesville, NC",-83.014863204081,100.0,Couch,https://us.letgo.com/en/i/Couch_760b3ac8-2ddd-4240-ac11-b500abc94cfe
"Runs really good. I drive it daily, all wheel drive with four low.Automatic, really dont want to sale but have kids to support",35.63628,"Asheville, NC",-82.593878,1500.0,Jeep - Grand Cherokee - 1993,https://us.letgo.com/en/i/Jeep-Grand-Cherokee-1993_00bc4230-ac1a-4a08-9d0e-dd79a49dfee9
42 inch mowing deck no rust,35.597911602931,"Asheville, NC",-82.458445826884,25.0,black mower deck,https://us.letgo.com/en/i/black-mower-deck_52ce3ffd-612d-4949-9aee-d26517628065
3 St Ives body wash 24 oz 1 St Ives Body Lition 21 oz 2 Secret Deodorant 2.6 oz 1 Venus razor 5 blades 1 Skintimate shaving cream 7 oz ALL ITEMS ARE NEW.,35.597118,"Asheville, NC",-82.516648,28.0,St Ives body wash and lotion bundle,https://us.letgo.com/en/i/St-Ives-body-wash-and-lotion-bundle-_c82b11d0-5b6e-4608-81be-16b1c5e42a00
"Olive, F.D. Jones, Los Angeles",35.4343165,"Fletcher, NC",-82.51953509999998,25.0,Antique school desk legs,https://us.letgo.com/en/i/Antique-school-desk-legs_d4660fa2-7ff5-4a1d-9438-642b7f8480fd
Group of 7,35.314343,"Hendersonville, NC",-82.457598,20.0,Boys or Kids Tobaggans / Hats,https://us.letgo.com/en/i/Boys-or-Kids-Tobaggans-Hats_63d60be4-7024-4188-99cb-594b0cb9b9da
Brand: B. Makowsky,35.314343,"Hendersonville, NC",-82.457598,30.0,Women's Purse / Hangbag,https://us.letgo.com/en/i/Women-s-Purse-Hangbag_a5c7a18b-993a-4445-bbb5-eca2878974a9
None,35.56714229999999,"Asheville, NC",-82.54376140000001,20.0,Red almost brand new timberland jacket,https://us.letgo.com/en/i/Red-almost-brand-new-timberland-jacket_0e66cf46-56bc-49c1-bfea-ebbb02ffa818
None,35.434884600000004,"Fletcher, NC",-82.53183440000001,500.0,"36"" Previous Concete rollers in excellent conditio",https://us.letgo.com/en/i/36-Previous-Concete-rollers-in-excellent-conditio_dd6aa078-6d0d-4e88-ae94-5ebaa2b266d1
None,35.56714229999999,"Asheville, NC",-82.54376140000001,50.0,Size 9.5 woman's timberland wedges,https://us.letgo.com/en/i/Size-9-5-woman-s-timberland-wedges_5d2aeae3-bd26-4858-97fb-360636e1bc7b
None,35.314343,"Hendersonville, NC",-82.457598,5.0,Box,https://us.letgo.com/en/i/Box_74ce196e-7253-4c9e-9af1-a526150f41ba
None,35.314343,"Hendersonville, NC",-82.457598,5.0,Teacup / Decor,https://us.letgo.com/en/i/Teacup-Decor_4a9d0852-3447-4a73-be13-89a949d543c5
None,35.583822,"Candler, NC",-82.660464,300.0,gray side-by-side refrigerator with dispenser,https://us.letgo.com/en/i/gray-side-by-side-refrigerator-with-dispenser_7d29cb38-5131-4f60-86a9-369d8ecaa57f
1 Listerine 1 liter 1 Vaseline Men 20.3 oz 2 Axe Body wash 16 oz 1 Right guard hair and body 16 oz 2 Axe Shampoo 12 oz 2 Axe Deodorant 1 Axe Spray 2 Schick Xtreme 3 Razor 4 pack 1 Gillette Fusion Sensitive shaving gel 1 Colgate sensitive double pack toothpaste ALL ITEMS ARE NEW!!,35.597118,"Asheville, NC",-82.516648,47.0,Men's 14 pc essential grooming bundle,https://us.letgo.com/en/i/Men-s-14-pc-essential-grooming-bundle-_aec9b175-a023-4a29-8e55-9bd90574c400
None,35.5282657,"Canton, NC",-82.82293440000001,6.0,Compression socks,https://us.letgo.com/en/i/Compression-socks_7cd0d711-33ce-47c3-9671-acac5d07793a
,35.81466438,"Marshall, NC",-82.59360221,15.0,pair of black-and-green Toms slip-on shoes,https://us.letgo.com/en/i/pair-of-black-and-green-Toms-slip-on-shoes_d1a2905d-d888-4ecb-b714-8370ed75aa46
Xbox one controller,35.5950581,"Asheville, NC",-82.5514869,30.0,Xbox one controller,https://us.letgo.com/en/i/Xbox-one-controller_32156299-7902-45a4-b0ef-461e2d2ea865
,35.636256951872,"Black Mountain, NC",-82.334671514185,10.0,5 pound golds gym ankle weight,https://us.letgo.com/en/i/5-pound-golds-gym-ankle-weight_a91ef984-a76a-444c-a027-446a758ed73b
Brand new,35.58632267969001,"Asheville, NC",-82.474350919916,225.0,Husqvarna 150 New,https://us.letgo.com/en/i/Husqvarna-150-New_08d7bb04-a538-453b-a072-ac8d6bda5b8c
Xbox one game. NHL 18.,35.5950581,"Asheville, NC",-82.5514869,20.0,NHL 18 Xbox one,https://us.letgo.com/en/i/NHL-18-Xbox-one_a7d10794-57cb-40ef-8eb3-f20eeebd7f48
None,35.811401700000005,"Marshall, NC",-82.676994,0.0,white and black stoneware jug,https://us.letgo.com/en/i/white-and-black-stoneware-jug_d78a59ce-6f3c-48f9-8bb6-9f368b89f1f5
‘01 with low miles (83000) Great running car and very clean Price just reduced! Come and take a look,35.509991259787995,"Maggie Valley, NC",-83.066347948274,4000.0,red Ford Mustang convertible coupe,https://us.letgo.com/en/i/red-Ford-Mustang-convertible-coupe_c7839453-a182-4d49-9e56-180b9b22f02b
"390 big block, needs rebuild. Manual transmission, used to be a dump truck years ago. Been sitting for 5+ years. A parts truck more or less.",35.856375,"Burnsville, NC",-82.2034851,250.0,Ford - F-600,https://us.letgo.com/en/i/Ford-F-600_252b6d76-a8d4-485e-b9da-234cf98b94ad
"Nice, handmade, clay mug.",35.5736232,"Asheville, NC",-82.59169990000001,6.0,Mug,https://us.letgo.com/en/i/Mug_8e0eeac0-d057-427d-a57c-86b3b45ce41a
"1991(?) it works, just pulled it out",35.6219,"Asheville, NC",-82.4709,0.0,Up Right Freezer,https://us.letgo.com/en/i/Up-Right-Freezer_6404a497-40f8-43b1-bc36-13996420d4f7
None,35.734108,"Weaverville, NC",-82.603844,0.0,black suede side-zip booties,https://us.letgo.com/en/i/black-suede-side-zip-booties_b4b4ffa4-f891-403a-8d04-21ac001c6d60
None,35.734108,"Weaverville, NC",-82.603844,0.0,women's black leather side-zip bootie,https://us.letgo.com/en/i/women-s-black-leather-side-zip-bootie_dc94072a-f6aa-4b0f-811e-cbd121f5ea72
Ceramic message board. No chips.,35.4645648,"Waynesville, NC",-83.0014414,10.0,Dry erase message board,https://us.letgo.com/en/i/Dry-erase-message-board_29108d19-83da-4d5f-986f-27a93e479629
Will negotiate,35.4597,"Canton, NC",-82.8677,150.0,Eminence 600 watt speakers 150.00 each have 3,https://us.letgo.com/en/i/Eminence-600-watt-speakers-150-00-each-have-3-_31233149-c3fe-4f68-acc1-3fce8cf31fd7
Clemson,35.734108,"Weaverville, NC",-82.603844,0.0,1974 Pepsi commenetive bottle unopened,https://us.letgo.com/en/i/1974-Pepsi-commenetive-bottle-unopened_19753988-cca5-45f7-82ac-75e1ff3a7299
,35.53824842782,"Asheville, NC",-82.523996875059,200.0,Shower door,https://us.letgo.com/en/i/Shower-door-_8b33a4f7-8ad4-4a57-b8d1-5d45643da9d8
Runs great tires 70% tread no tears in leather has bags to go with it and it has led underglow I want to sell or trade 4500 pm me worst I can say is no,35.510383206059,"Candler, NC",-82.724102275943,4500.0,harley - superglide - 1993,https://us.letgo.com/en/i/harley-superglide-1993_82523e0e-c5cc-4cd5-9a3c-ca7cb3f2b8a2
13 outfits 9 shoes over 15 accessories,35.5360973,"Candler, NC",-82.6927363,25.0,Build-a-Bear assorted clothes and accessories,https://us.letgo.com/en/i/Build-a-Bear-assorted-clothes-and-accessories_a9191b63-b66c-4fd1-b212-cb75ea32b908
"Beautiful, blue and white starfish hot plate",35.5736232,"Asheville, NC",-82.59169990000001,5.0,Hot plate,https://us.letgo.com/en/i/Hot-plate_13673b38-1883-40a9-8a88-63e52269d99b
I have over a hundred dvds feel free if lookiing to question on wat i have going quick andd cheap eeven kids dvds,35.734108,"Weaverville, NC",-82.603844,0.0,Twilight New,https://us.letgo.com/en/i/Twilight-New-_68f40f90-e5c8-444d-a3bd-51758e46f30d
"Beautiful , pink vase",35.5736232,"Asheville, NC",-82.59169990000001,5.0,Vase,https://us.letgo.com/en/i/Vase_3e53435f-cb3e-4aab-b55d-8abaf7cb4c8e
"Flower design decoreated, tiny, plastic saucer.",35.5736232,"Asheville, NC",-82.59169990000001,1.0,Plate,https://us.letgo.com/en/i/Plate_d67f07c7-e395-411b-80c9-93ef8cd0974b
Thick and large honey bee mug,35.5736232,"Asheville, NC",-82.59169990000001,5.0,Mug,https://us.letgo.com/en/i/Mug_88a4c062-cb63-4c79-894f-ffc8d49f0778
"Brown plastic adirondack chairs, 5 bucks each. Purchased last spring and sat them aroumd pur fire pit. Good condition. 5 bucks each or 20 for the set obo",35.598283,"Asheville, NC",-82.56893050000001,20.0,Adirondack chairs 4,https://us.letgo.com/en/i/Adirondack-chairs-4_2d60c4c6-8f8a-4916-b918-658bda9ca5a8
None,35.583822,"Candler, NC",-82.660464,175.0,white induction range oven,https://us.letgo.com/en/i/white-induction-range-oven_9867bc24-cabc-4282-80c9-b23e47c751fb
None,35.583822,"Candler, NC",-82.660464,300.0,white front-load clothes dryer,https://us.letgo.com/en/i/white-front-load-clothes-dryer_a85ee954-1a0c-4b55-a119-f9fb34d8ff2f
None,35.583822,"Candler, NC",-82.660464,300.0,white washer and dryer set,https://us.letgo.com/en/i/white-washer-and-dryer-set_31ffca4f-346a-4abd-a2e9-0450e2834da0
"Plastic, flexible. They do have screw holes in them. About 15-20 sheets.",35.603907,"Waynesville, NC",-83.030423,0.0,FREE corrugated roof panels,https://us.letgo.com/en/i/FREE-corrugated-roof-panels_124cf24c-382f-4841-816d-2537fecc7173
Was running last year. Been sitting since this past summer haven't tried starting it will need fresh gas and maybe carb cleaned just dont need it,35.210077500000004,"Zirconia, NC",-82.4381577,60.0,Pressure washer,https://us.letgo.com/en/i/Pressure-washer_5cca7955-27e5-4644-9604-be791a2ee5ce
White frame 27x21 Silver frame 25x21,35.5360973,"Candler, NC",-82.6927363,10.0,silver and white framed mirrors,https://us.letgo.com/en/i/-silver-and-white-framed-mirrors_7b8f7687-64ae-490a-bd88-9b00788d50ea
"This is a super clean car inside and out. Has sunroof , leather heated seats. Also has been hooked up for touchscreen bluetooth radio with apple car play. The reason I’m selling so low is because after you drive the car for a little bit you can feel some slipping going on. I have bought a new car and no longer have time to mess with this one any more. If interested or want more pics feel free to message me",35.595849335176,"Asheville, NC",-82.554834611475,5000.0,Mercedes - sport - 2006,https://us.letgo.com/en/i/Mercedes-sport-2006_99f45572-c4af-4eaf-8a71-2adf97cc24f3
Like new .used very little .no longer have a yard or need any yard work tools.,35.604691100000004,"Asheville, NC",-82.48610529999999,160.0,Husqavarna BT 150 BLOWER,https://us.letgo.com/en/i/Husqavarna-BT-150-BLOWER-_54323490-e807-41f2-9f04-6030247aeb4f
,35.413341069657,"Fletcher, NC",-82.509449313973,10.0,size 10 sperrys,https://us.letgo.com/en/i/size-10-sperrys-_06ba94f6-22d8-4e46-8f91-f73b85a41c93
None,35.5927313,"Asheville, NC",-82.5566796,1500.0,Toyota - RAV4 - 2003,https://us.letgo.com/en/i/Toyota-RAV4-2003_af73c33d-76bf-4ea5-88e0-cdba4382fe32
None,35.5927313,"Asheville, NC",-82.5566796,2015.0,tractor bx2200,https://us.letgo.com/en/i/tractor-bx2200_6109faef-e3fe-4935-a701-9844847f2eea
None,35.336895,"Hendersonville, NC",-82.475475,30.0,black Samsung Galaxy Note 5 in box,https://us.letgo.com/en/i/black-Samsung-Galaxy-Note-5-in-box_bb31060d-22ed-4081-900f-1559f2299e4f
,35.413394927979,"Fletcher, NC",-82.511543273926,5.0,Tennis Racket,https://us.letgo.com/en/i/Tennis-Racket-_007e8dd8-b896-4bf2-872d-9fb451e4a01d
None,35.336895,"Hendersonville, NC",-82.475475,0.0,gold-colored sword pendant necklace,https://us.letgo.com/en/i/gold-colored-sword-pendant-necklace_4be5c672-d72d-4918-820f-7294dac96a20
None,35.5993575,"Swannanoa, NC",-82.40062270000001,50.0,brown horse figurine,https://us.letgo.com/en/i/brown-horse-figurine_758b1325-9285-42c6-895a-5024cfa70fcc
"Ask about our simple easy financing plan! No credit check involved! Email for an application or message for one Our store is full of fully functioning, refurbished, and guaranteed appliances. Washers, dryers, stoves, refrigerator, freezers, and even AC units. Washers@100+ Dryers@100+ Stoves@139+ Refrigerator@150+ Freezers@79+ These units come with a 30 day warranty. Delivery is separate charges unless 500+ and it's free! All cords come with units Location: 2000 Spartanburg Hwy East Flat Rock, NC Hours: Tuesday-Friday 10-5 Saturday 10-2 Come check us out! Property managers get better deals!",35.292265405911,"Hendersonville, NC",-82.428904390039,225.0,Whirlpool Stainless Glass Top Stove,https://us.letgo.com/en/i/Whirlpool-Stainless-Glass-Top-Stove-_071e4f36-d82a-43aa-97d9-6ef67a43c696
None,35.5993575,"Swannanoa, NC",-82.40062270000001,0.0,gray steel key,https://us.letgo.com/en/i/gray-steel-key_e6c29560-0863-4126-bae2-a321a69ec794
None,35.336895,"Hendersonville, NC",-82.475475,40.0,gold-colored necklace with dragon pendant,https://us.letgo.com/en/i/gold-colored-necklace-with-dragon-pendant_737d3543-123f-4393-9c81-0b5786c98c64
None,35.336895,"Hendersonville, NC",-82.475475,90.0,silver-colored and white rosary,https://us.letgo.com/en/i/silver-colored-and-white-rosary_52de9522-b148-4741-abe9-b56ed01bebef
None,35.5993575,"Swannanoa, NC",-82.40062270000001,0.0,clear glass bottle,https://us.letgo.com/en/i/clear-glass-bottle_2ca01269-eda6-455f-94ed-9eecd0fcdbbf
None,35.336895,"Hendersonville, NC",-82.475475,45.0,gold-colored herringbone chain necklace,https://us.letgo.com/en/i/gold-colored-herringbone-chain-necklace_60e91e8c-42bb-4dc0-9c0a-0e34d2b62f78
None,35.336895,"Hendersonville, NC",-82.475475,0.0,silver-colored Figaro necklace,https://us.letgo.com/en/i/silver-colored-Figaro-necklace_96a24421-1d3b-4277-a5c6-6742d8dea6cb
Chevy Aveo for sale. Looking for $1000 obo. I can get more pictures and more info just send me a message,35.595843863157,"Asheville, NC",-82.554834866173,1000.0,Chevy Aveo car,https://us.letgo.com/en/i/Chevy-Aveo-car_f87487fc-804a-4fdb-a11e-23aaaf214f8b
None,35.336895,"Hendersonville, NC",-82.475475,0.0,silver-colored necklace with pendant,https://us.letgo.com/en/i/silver-colored-necklace-with-pendant_e331fcc0-7835-4000-b2e2-262b9219bca3
None,35.336895,"Hendersonville, NC",-82.475475,0.0,gold-colored necklace,https://us.letgo.com/en/i/gold-colored-necklace_b9bba4e6-9b48-4405-a56a-b2ac15950ad7
Does not run...i think there is an issue with the heads. 2wd 4.2 motor 185000 miles. Need to sell asap,35.8926297,"Hot Springs, NC",-82.82726640000001,1000.0,Ford - F-150 - 1999,https://us.letgo.com/en/i/Ford-F-150-1999_0a46cb19-b3f0-48e8-8366-cd0470b5e987
,35.595798451594,"Asheville, NC",-82.562487509382,20.0,Infrared Ceramic Space Heaters,https://us.letgo.com/en/i/Infrared-Ceramic-Space-Heaters_7e8307b4-57ac-42bd-8d20-20450d3a35c9
None,35.336895,"Hendersonville, NC",-82.475475,0.0,silver-colored dogtag with box,https://us.letgo.com/en/i/silver-colored-dogtag-with-box_245c5670-a488-4f9f-97db-f34ef2b532a7
None,35.336895,"Hendersonville, NC",-82.475475,0.0,round silver-colored analog watch with link bracelet,https://us.letgo.com/en/i/round-silver-colored-analog-watch-with-link-bracelet_927b84fe-0806-4b42-a95c-733bf1c4523b
