Title,Location,Price,Description,Url,Latitude,Longitude
Rock Shox Reverb Stealth 125mm 31.6mm Dropper,Unspecified,175.0,"I have a like new Rock Shox Reverb Stealth 125mm 31.6mm dropper pulled of a New 2017 Devinci. Everything works perfect ridden 7 times, I'm 6'1 and needed more travel. Not interested in trades for your first born, gift cards or spa envy certificates. Please no low balls $175 firm",https://asheville.craigslist.org/bik/d/rock-shox-reverb-stealth/6489373707.html,35.5971,-82.5565
Generac Generator (NEW),"Hendersonville, NC",505.0,New just ran enough to make sure everything ok 6250 surge 5000 run 120 and 240 outlets NO PayPal or help selling NO Checks ***NO EMAILS*** Don't text and ask for one,https://asheville.craigslist.org/tls/d/generac-generator-new/6479771186.html,35.5971,-82.5565
Keys,"Weaverville, NC",10.0,"Assortment of old keys, all are made of steel.$10 Call Ed",https://asheville.craigslist.org/clt/d/keys/6492596158.html,35.7126,-82.5491
Oil Barrel with stand (price reduced),"Sylva, NC",75.0,Oil Barrel with stand for sale. Used to hold at least 260 gallons of kerosene for monitor heater. Works great but we have moved and no longer need it. Please contact by email if interested in purchasing.,https://asheville.craigslist.org/for/d/oil-barrel-with-stand-price/6512413953.html,35.3481,-83.2031
Nice Club Car (Golf Cart),"Hendersonville, NC",2250.0,Nice Club Car Golf Cart 48 volt new batteries & has charger new brakes Head lights lo & high beam Brake and tail lights good tires Top & fold down windshield with enclosure good cart Very good shape White in color Has some stuff for the Golf course NO Paypal or help selling no Checks or shipping ***NO EMAILS********NO EMAILS***** Don't text and ask for one WONT Happen !!!,https://asheville.craigslist.org/spo/d/nice-club-car-golf-cart/6505078305.html,35.3481,-83.2031
"Subaru Outback 2011 2.5 PZEV , 72k mi, silver/blk lthr one owner","Asheville, NC",11500.0,"One owner. Primarily interstate mileage. Black Leather interior, no damage. All weather mats, rearview camera, moonroof, heated seats, satellite antenna, hands free blue tooth phone, am/fm/cd, all oil changes, 6 month old front brakes, Pirelli tires replaced about 20,000 miles ago. Kelly blue indicates and average of 12499. I'm selling below so I can buy. Happy to send additional pictures with serious local buyer.",https://asheville.craigslist.org/cto/d/subaru-outbackpzev-72k-mi/6512413819.html,35.6004,-82.4918
"Toyota 15"" wheels and tires",Unspecified,125.0,"Toyota 6 lug 15"" 11.50"" wide +30 offset Has 2 good 31/10.50 tires, and 2 have a few miles left $125 OBO",https://asheville.craigslist.org/wto/d/toyota-15-wheels-and-tires/6512414352.html,35.6004,-82.4918
Working Oil Furnace,"Alexander, NC",250.0,"The furnace is older but several of the components are recently replaced. It has a newer control box, and the oil pump and motor are only about a month old. Feel free to make an offer.",https://asheville.craigslist.org/app/d/working-oil-furnace/6502575323.html,35.7064,-82.6311
2015 Harley-Davidson® XG750 - Street™ 750 (NP07845),"Pineville, NC",5499.0,,https://asheville.craigslist.org/mcd/d/2015-harley-davidson-xg750/6512420491.html,35.7064,-82.6311
2015 Harley-Davidson® XL883L - Sportster® SuperLow® (NP39444),"Pineville, NC",6499.0,"We also sell and service Harley-Davidson, Honda, Kawasaki, Suzuki, and Yamaha.-XG500, XG750 STREET ROD, XL883S, XL883 IRON, XL1200T SUPERLOW, VRSC, XL1200C SPORTSTER, XL1200CX ROADSTER, XL1200X FORTY-EIGHT, FLHR ROAD KING, FLHX STREET GLIDE, FLS SOFTTAIL, FLTR ROAD GLIDE, FLHT ELECTRA GLIDE, FLRT FREEWHEELER, FXD RIDER, FXS BREAKOUT-CRF50, NCW50, NPS50, TRX90, CRF110, CRF125, GROM125, CRF150, PCX150, CRF230, TRX250, CRF250, MRT2603, CB300, CBR300, CMX300, MRT300, TRX420 RANCHER, CRF450, CB500, CBR500, CMX500, SXS500 PIONEER, TRX500, CBR600, XR650, NC700, SXS700 PIONEER, TRX680, CBR1000, CRF1000, CBR1000, SXS1000 PIONEER, VFR1200, VT1300, GL18 GOLDWING-KSF50, KX65, KX85, KSF90, KX100, KLX110, BR125, KLX140, KX252, KVF300, EX300 NINJA, KLE300, KAF400 MULE, KX450, KAF620 MULE, ZX636, EN650 VULCAN, ER650, EX650 NINJA, KLE650, KL650, KVF750 BRUTEFORCE, KRF800, KRT800, KAF820 MULE, VN900, VR900, ZR900, KAF1000 MULE, ZX1000 NINJA, KLZ1000, ZG1400, VN1700 -LT-Z50, DR-Z70, RM85, LT-Z90, DR-Z125, DR200, RV200, RM-Z250, TU250, GW250, LT-A400 KINGQUAD, LT-F400, DR-Z400, RM-Z450, RMX450, LT-A500 KINGQUAD, GSX-R600, AN650, DR650, SV650, LS650, LT-A750 KINGQUAD, GSX-R750, VL800, GSX-S1000, GSX1300, VL1500, VZ1500, VZR1800 -PW50, TT-R50, VINO CLASSIC, YFZ50, ZUMA50, YZ85, RAPTOR90, TT-R110, TT-R125, YZ125, ZUMA125, SMAX, TW200, TT-R230, WR250, XT250, XVS250, YZ250, WR250, YZF-R3, SR400, WR450, YFZ450, YZ450F, YZF-R6, FZ6R, RAPTOR700, YXC70 VIKING, YXE70 WOLVERINE, YXM70 VIKING, FZ-07, YFM70, FJ-09, FZ-09, XSR900, BOLT, SCR950, XVS95, FZ-10, YXZ1000, YZF-R1, SUPER TENERE, FJR1300, STRYKER, XVS13, VMAX, RAIDER.",https://asheville.craigslist.org/mcd/d/2015-harley-davidson-xl883l/6512423095.html,35.7064,-82.6311
32 oz. (1 quart) galvanized steel pitcher (with flexible spout),"Arden, NC",10.0,Galvanized steel pitcher with flexible spout; 1 quart capacity (spout is a bit rusty) 2 available $10 each Call or text (828)Seven seven eight-6153,https://asheville.craigslist.org/for/d/32-oz-1-quart-galvanized/6507698587.html,35.4637,-82.5354
